OBS_TIME_LOC,HT,LONG,LAT,time
2005-12-06 04:00:00,1.6566666666666665,153.4772,-28.5047,2005-12-06 04:00:00
2005-12-06 05:00:00,1.6349999999999998,153.4772,-28.5047,2005-12-06 05:00:00
2005-12-06 06:00:00,1.6150000000000002,153.4772,-28.5047,2005-12-06 06:00:00
2005-12-06 07:00:00,1.6,153.4772,-28.5047,2005-12-06 07:00:00
2005-12-06 08:00:00,1.5750000000000002,153.4772,-28.50470000000001,2005-12-06 08:00:00
2005-12-06 09:00:00,1.5750000000000002,153.4772,-28.50470000000001,2005-12-06 09:00:00
2005-12-06 10:00:00,1.5750000000000002,153.4772,-28.50470000000001,2005-12-06 10:00:00
2005-12-06 11:00:00,1.6309090909090909,153.4772,-28.50470000000001,2005-12-06 11:00:00
2005-12-06 12:00:00,1.72,153.4772,-28.50470000000001,2005-12-06 12:00:00
2005-12-06 13:00:00,1.804285714285714,153.4772,-28.50470000000001,2005-12-06 13:00:00
2005-12-06 14:00:00,1.9077777777777776,153.4772,-28.5047,2005-12-06 14:00:00
2005-12-06 15:00:00,2.0142857142857142,153.4772,-28.5047,2005-12-06 15:00:00
2005-12-06 16:00:00,2.0925,153.4772,-28.5047,2005-12-06 16:00:00
2005-12-06 17:00:00,2.12,153.4772,-28.504700000000003,2005-12-06 17:00:00
2005-12-06 18:00:00,2.12,153.4772,-28.50470000000001,2005-12-06 18:00:00
2005-12-06 19:00:00,2.12,153.4772,-28.50470000000001,2005-12-06 19:00:00
2005-12-06 20:00:00,2.11,153.4772,-28.50470000000001,2005-12-06 20:00:00
2005-12-06 21:00:00,2.037777777777777,153.4772,-28.504700000000003,2005-12-06 21:00:00
2005-12-06 22:00:00,1.95,153.4772,-28.5047,2005-12-06 22:00:00
2005-12-06 23:00:00,1.88,153.4772,-28.5047,2005-12-06 23:00:00
2005-12-07 00:00:00,1.8375,153.4772,-28.5047,2005-12-07 00:00:00
2005-12-07 01:00:00,1.805,153.4772,-28.5047,2005-12-07 01:00:00
2005-12-07 02:00:00,1.7699999999999998,153.4772,-28.5047,2005-12-07 02:00:00
2005-12-07 03:00:00,1.75,153.4772,-28.5047,2005-12-07 03:00:00
2005-12-07 04:00:00,1.75,153.4772,-28.5047,2005-12-07 04:00:00
2005-12-07 05:00:00,1.75,153.4772,-28.5047,2005-12-07 05:00:00
2005-12-07 06:00:00,1.75,153.4772,-28.5047,2005-12-07 06:00:00
2005-12-07 07:00:00,1.75,153.4772,-28.5047,2005-12-07 07:00:00
2005-12-07 08:00:00,1.75,153.4772,-28.504700000000003,2005-12-07 08:00:00
2005-12-07 09:00:00,1.69,153.4772,-28.50470000000001,2005-12-07 09:00:00
2005-12-07 10:00:00,1.69,153.4772,-28.50470000000001,2005-12-07 10:00:00
2005-12-07 11:00:00,1.73,153.4772,-28.50470000000001,2005-12-07 11:00:00
2005-12-07 12:00:00,1.792857142857143,153.4772,-28.50470000000001,2005-12-07 12:00:00
2005-12-07 13:00:00,1.874,153.4772,-28.5047,2005-12-07 13:00:00
2005-12-07 14:00:00,1.9475,153.4772,-28.5047,2005-12-07 14:00:00
2005-12-07 15:00:00,1.995,153.4772,-28.5047,2005-12-07 15:00:00
2005-12-07 16:00:00,2.0,153.4772,-28.5047,2005-12-07 16:00:00
2005-12-07 17:00:00,2.02,153.4772,-28.50470000000001,2005-12-07 17:00:00
2005-12-07 18:00:00,2.02,153.4772,-28.50470000000001,2005-12-07 18:00:00
2005-12-07 19:00:00,2.02,153.4772,-28.504700000000003,2005-12-07 19:00:00
2005-12-07 20:00:00,2.012857142857143,153.4772,-28.50470000000001,2005-12-07 20:00:00
2005-12-07 21:00:00,1.972,153.4772,-28.5047,2005-12-07 21:00:00
2005-12-07 22:00:00,1.9185714285714288,153.4772,-28.5047,2005-12-07 22:00:00
2005-12-07 23:00:00,1.8633333333333333,153.4772,-28.5047,2005-12-07 23:00:00
2005-12-08 00:00:00,1.85,153.4772,-28.5047,2005-12-08 00:00:00
2005-12-08 01:00:00,1.835,153.4772,-28.5047,2005-12-08 01:00:00
2005-12-08 02:00:00,1.81,153.4772,-28.5047,2005-12-08 02:00:00
2005-12-08 03:00:00,1.79,153.4772,-28.5047,2005-12-08 03:00:00
2005-12-08 04:00:00,1.79,153.4772,-28.5047,2005-12-08 04:00:00
2005-12-08 05:00:00,1.79,153.4772,-28.5047,2005-12-08 05:00:00
