,Unnamed: 0,Unnamed: 0.1,Date,HT,LONG,LAT,locName
206,206,206,2005-11-26 20:00:00,1.63,153.4772,-28.5047,The Pocket (Marshalls Creek)
207,207,207,2005-11-26 20:00:00,1.63,153.4772,-28.5047,The Pocket (Marshalls Creek)
208,208,208,2005-11-26 20:00:00,1.63,153.4772,-28.5047,The Pocket (Marshalls Creek)
209,209,209,2005-11-26 21:00:00,1.62,153.4772,-28.5047,The Pocket (Marshalls Creek)
210,210,210,2005-11-26 21:00:00,1.62,153.4772,-28.5047,The Pocket (Marshalls Creek)
211,211,211,2005-11-26 21:00:00,1.62,153.4772,-28.5047,The Pocket (Marshalls Creek)
212,212,212,2005-11-26 21:00:00,1.62,153.4772,-28.5047,The Pocket (Marshalls Creek)
213,213,213,2005-11-26 21:00:00,1.61,153.4772,-28.5047,The Pocket (Marshalls Creek)
214,214,214,2005-11-26 21:00:00,1.61,153.4772,-28.5047,The Pocket (Marshalls Creek)
215,215,215,2005-11-26 21:00:00,1.61,153.4772,-28.5047,The Pocket (Marshalls Creek)
216,216,216,2005-11-26 21:00:00,1.61,153.4772,-28.5047,The Pocket (Marshalls Creek)
217,217,217,2005-11-26 21:00:00,1.6,153.4772,-28.5047,The Pocket (Marshalls Creek)
218,218,218,2005-11-26 22:00:00,1.6,153.4772,-28.5047,The Pocket (Marshalls Creek)
219,219,219,2005-11-26 22:00:00,1.6,153.4772,-28.5047,The Pocket (Marshalls Creek)
220,220,220,2005-11-26 22:00:00,1.6,153.4772,-28.5047,The Pocket (Marshalls Creek)
221,221,221,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
222,222,222,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
223,223,223,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
224,224,224,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
225,225,225,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
226,226,226,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
227,227,227,2005-11-26 22:00:00,1.59,153.4772,-28.5047,The Pocket (Marshalls Creek)
228,228,228,2005-11-26 23:00:00,1.58,153.4772,-28.5047,The Pocket (Marshalls Creek)
229,229,229,2005-11-26 23:00:00,1.58,153.4772,-28.5047,The Pocket (Marshalls Creek)
230,230,230,2005-11-26 23:00:00,1.58,153.4772,-28.5047,The Pocket (Marshalls Creek)
231,231,231,2005-11-26 23:00:00,1.58,153.4772,-28.5047,The Pocket (Marshalls Creek)
